ticker,company,industry,form,score,recommended
FDX,FEDEX CORP,Air Courier Services,424B3,3,False
,424B3 - FEDERAL EXPRESS CORP,Air Courier Services,424B3,3,False
VSEEW,"VSEE HEALTH, INC.",Services-Health Services,10-K/A,5,True
UTSI,UTSTARCOM HOLDINGS CORP.,"Communications Equipment, NEC",6-K,4,False
,497J - iSHARES TRUST,,497J,3,False
CKDXF,Opthea Ltd,"Biological Products, (No Diagnostic Substances)",6-K,4,False
HLNCF,Haleon plc,"Perfumes, Cosmetics & Other Toilet Preparations",6-K,4,False
,"497J - iShares, Inc.",,497J,3,False
IMPPP,Imperial Petroleum Inc./Marshall Islands,Deep Sea Foreign Transportation of  Freight,6-K,4,False
GASS,StealthGas Inc.,Deep Sea Foreign Transportation of  Freight,6-K,4,False
CISS,C3is Inc.,Deep Sea Foreign Transportation of  Freight,6-K,4,False
,4 - Frommer Richard N.,,4,3,False
PROP,Prairie Operating Co.,Crude Petroleum & Natural Gas,4,3,False
,3 - LEBENSBURGER KENNETH E JR,,3,2,False
GCT,GigaCloud Technology Inc,Retail-Catalog & Mail-Order Houses,3,2,False
ZDAI,Primega Group Holdings Ltd,General Bldg Contractors - Nonresidential Bldgs,6-K,4,False
BHPLF,BHP Group Ltd,Metal Mining,6-K,4,False
PKX,POSCO HOLDINGS INC.,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",6-K,4,False
MSC,STUDIO CITY INTERNATIONAL HOLDINGS Ltd,Hotels & Motels,6-K,4,False
MLCO,Melco Resorts & Entertainment LTD,Hotels & Motels,6-K,4,False
GCLWW,GCL Global Holdings Ltd,Services-Prepackaged Software,6-K,4,False
ARCT,Arcturus Therapeutics Holdings Inc.,Pharmaceutical Preparations,8-K,5,True
THH,TryHard Holdings Ltd,Services-Miscellaneous Amusement & Recreation,424B5,3,False
,4 - Burke Russell John,,4,3,False
LIFX,"Life360, Inc.",Services-Computer Processing & Data Preparation,4,3,False
ECDAW,"ECD Automotive Design, Inc.",Motor Vehicles & Passenger Car Bodies,10-K/A,5,True
,4 - Nonghyup Bank as trustee of DBAM Vista Credit Investment Trust No. 2,,4,3,False
,4 - VISTA CREDIT STRATEGIC LENDING CORP.,,4,3,False
,4 - Dizon Romeo R,,4,3,False
IRIX,IRIDEX CORP,Electromedical & Electrotherapeutic Apparatus,4,3,False
LITE,Lumentum Holdings Inc.,"Communications Equipment, NEC",4,3,False
,4 - Wupen Yuen,,4,3,False
LITE,Lumentum Holdings Inc.,"Communications Equipment, NEC",4,3,False
,4 - Ali Wajid,,4,3,False
LBSR,LIBERTY STAR URANIUM & METALS CORP.,Metal Mining,8-K,5,True
,4 - Ruemler Timothy James,,4,3,False
STSSW,Sharps Technology Inc.,Surgical & Medical Instruments & Apparatus,4,3,False
IVF,"INVO Fertility, Inc.",Surgical & Medical Instruments & Apparatus,4,3,False
,4 - Szot Matthew K,,4,3,False
,4 - Ryan Barbara,,4,3,False
IVF,"INVO Fertility, Inc.",Surgical & Medical Instruments & Apparatus,4,3,False
IVF,"INVO Fertility, Inc.",Surgical & Medical Instruments & Apparatus,4,3,False
,4 - Goren Andrea,,4,3,False
IVF,"INVO Fertility, Inc.",Surgical & Medical Instruments & Apparatus,4,3,False
,4 - DAVIS TRENT D,,4,3,False
,4 - Messina Rebecca,,4,3,False
IVF,"INVO Fertility, Inc.",Surgical & Medical Instruments & Apparatus,4,3,False
,4 - Neufeld Alissa,,4,3,False
LFVN,Lifevantage Corp,Pharmaceutical Preparations,4,3,False
,4 - Boyster Julie,,4,3,False
LFVN,Lifevantage Corp,Pharmaceutical Preparations,4,3,False
,4 - Fife Steven R,,4,3,False
LFVN,Lifevantage Corp,Pharmaceutical Preparations,4,3,False
,4 - Cunningham Kristen,,4,3,False
LFVN,Lifevantage Corp,Pharmaceutical Preparations,4,3,False
,4 - Aure Carl,,4,3,False
LFVN,Lifevantage Corp,Pharmaceutical Preparations,4,3,False
,"4 - Connect Midstream, LLC",,4,3,False
SMC,Summit Midstream Corp,Natural Gas Transmission,4,3,False
,4 - Tailwater Energy Fund III LP,,4,3,False
,4 - Tailwater Capital LLC,,4,3,False
,4 - Herring Edward,,4,3,False
,4 - Downie Jason H,,4,3,False
IONQ-WT,"IonQ, Inc.",Services-Computer Integrated Systems Design,4,3,False
,4 - TEUBER WILLIAM J JR,,4,3,False
IONQ-WT,"IonQ, Inc.",Services-Computer Integrated Systems Design,4,3,False
,4 - FRANKOLA JIM,,4,3,False
IONQ-WT,"IonQ, Inc.",Services-Computer Integrated Systems Design,3,2,False
,3 - TEUBER WILLIAM J JR,,3,2,False
TRLEF,Trillion Energy International Inc.,Crude Petroleum & Natural Gas,6-K,4,False
,4 - Morben Paul Keith,,4,3,False
OSIS,OSI SYSTEMS INC,Semiconductors & Related Devices,4,3,False
IONQ-WT,"IonQ, Inc.",Services-Computer Integrated Systems Design,3,2,False
,3 - FRANKOLA JIM,,3,2,False
,4 - Okawa Cary M.,,4,3,False
OSIS,OSI SYSTEMS INC,Semiconductors & Related Devices,4,3,False
,4 - Johnson Cole Wayne,,4,3,False
,4 - Grindstaff Glenn,,4,3,False
BESS,Bimergen Energy Corp,Electric Services,4,3,False
OSIS,OSI SYSTEMS INC,Semiconductors & Related Devices,4,3,False
,4 - Stock James L,,4,3,False
,4 - Tran Benjamin B,,4,3,False
BESS,Bimergen Energy Corp,Electric Services,4,3,False
BESS,Bimergen Energy Corp,Electric Services,4,3,False
,4 - Bannerman Montgomery L,,4,3,False
,4 - POTTER VAN H,,4,3,False
BESS,Bimergen Energy Corp,Electric Services,4,3,False
BESS,Bimergen Energy Corp,Electric Services,4,3,False
,4 - SZE VICTOR S,,4,3,False
